"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"2010-20",-1.633259558,-0.531045184,-0.324404314,-0.4099229744,-0.378123004,-1.51369192,-1.474703498,-0.875756492,-1.153877651,-0.6652144156,-0.8325403184,-0.871750602,-1.3896856594,-0.343711344,-1.25212002,-0.87971917,-0.897917956,-0.967473042,0.128151568,-0.19790423,-0.501661234,-0.497388848,-1.5093219788,-0.97109457,-0.2131407176,-1.466928098,-0.365099382,-0.2633308892,-0.696222312,-0.9281730766
"2010-21",0.525851974,-0.704307006,-0.00175683399999997,-0.43196811,-0.270636242,-0.082881598,0.2420896256,-0.170886492,-0.256270406,-0.052557742,0.054232056,-0.12513646,-0.035654534,-0.2371065,0.5092640686,0.504864328,-0.02265019,-0.891160174,-0.21150559,-0.742067572,-0.28898678,1.00073345,-0.720923326,-0.216158786,-0.267389338,0.294136568,-0.319122328,-0.309327572,0.387953626,-0.346058378
"2010-22",-1.722821975,-0.3415360175,-0.841850625,-0.1622025125,-0.693585815,-1.16652173525,-1.219664165,-0.823116755,-0.2158665675,-0.057109805,-1.1838391875,-0.345218725,-0.9850635325,-0.00107071750000002,-1.2929559475,-0.5365270125,0.0463532125,-0.14236012,-1.222682375,-0.0643745525,-0.049299088,-0.38063132,0.0254918924999999,-0.82176646,-0.0860667539999999,-0.7950599725,-0.30336997,-0.0519032950000001,0.2447068175,-1.00848351
"2010-23",0.99648432,0.105722788,0.912752762,0.945048802,0.449281086,1.35497936,0.883533428,0.7416682038,-0.015402781,0.164963136,1.820601498,0.797003222,-0.192958426,0.553374682,0.0698517172,-0.251452062,0.50377897,0.21226873,0.285553632,0.560505898,0.833797055,1.014897802,-0.079169758,0.9827121616,0.06565574,0.34091148,1.00041932,0.164032654,0.322757324,0.589973168
"2010-24",-0.458921482,-0.069650728,0.9365982022,0.0878783288,0.274995673,0.771846834,1.815775296,0.408480744,0.5002832974,0.2442181006,0.3932243,0.3891034,0.515744806,0.3199913316,-0.1609195748,0.73201465,0.2616222922,0.256699432,0.587775864,0.453860826,0.114225206,0.44711395,0.59494257,-0.320663402,0.08298476,0.8827100322,0.41007993,0.295667044,0.529808744,0.721202466
"2010-25",0.26949582,-0.330704696,0.26587044,-0.439343772,-0.415685022,0.155493574,-0.336363532,-1.457089434,-1.089186316,-0.5810795752,-0.869830816,-1.212046003,-1.307439758,-0.794333262,-1.133304308,-1.243319464,-0.312026357,-0.0979327822,0.177233634,-0.413698438,-0.6695983956,0.2379212652,-1.474948068,-0.758123922,-0.381924634,-0.38528598554,-0.3713339238,-0.973610618,-0.946687992,-0.536083228
"2010-26",-2.268659556,0.625686514,-1.502583282,-0.474259102,-2.2080475,-1.951454908,-1.76310967,-0.84627496,-1.008233964,-0.3146841912,-1.48496934,-0.9731414136,-1.459428578,-1.4557987376,-1.643511438,-0.922714404,-1.000747082,0.0297966606,-1.919593592,-1.0904764996,-0.424211622,-1.058221762,-1.065052684,-0.686484596,-0.22573996,-1.081226034,4.269380158,-0.455008582,-1.3044297776,-0.3451115506
"2010-27",2.294042375,1.213777735,1.972180925,0.5886702075,2.210653275,1.0983450475,2.2904419,1.675972255,1.8671013875,1.18250333775,2.0254811453,0.98510278,1.915835895,1.4548235775,0.4881394125,1.3863798025,1.25642758225,0.652159465,2.06485194625,1.048802475,1.148098932,1.5022268,1.086986265,1.0836375825,0.990489338,1.2466125925,-0.184459255,0.737007745,1.870173095,1.4416378925
"2010-28",-0.990945902,-0.0363943016,-0.541668362,-0.1128152828,-1.4188152092,-0.856224434,-0.208422276,-0.075090858,0.062409218,-0.00656513299999999,-0.477524696,-0.2702820752,-0.53061402464,0.4052579704,-0.822260944,0.732476258,0.0232820804,-0.357061836,0.0814502639999999,-0.0999583114,0.2141101776,-0.200574604,0.535228034,-0.254946384,0.082868703,-0.41427368,0.046788362,0.097764854,-0.4415887696,-0.28500879704
"2010-29",1.21564022,0.80017475,1.622320258,0.676184316,-0.345730328,1.89871406,1.615381666,0.544640784,0.5470028232,0.88829603,1.304224586,0.594096178,1.582403078,-0.015079374,0.8440123974,0.653826426,0.061674128,-0.62856028,0.449732314,0.54829459706,-0.000713381800000012,-0.596209038,0.723840484,0.037712928,-0.018897378,1.4353808,0.997678542,0.805591214,0.673496628,1.2413257202
"2010-30",0.222461522,0.0462382473,-0.043086246,0.322929134,0.44810006,0.066063808,0.126533526,0.71326993,-0.22828973,0.127719234,1.189752438,0.00219641,0.51044263,-0.038310258,0.191001318,-1.023364099,-0.01372538,0.1601425608,0.228003452,-0.280057492,-0.046528868,-0.241790408,-0.02787227,0.583356032,-0.246228638,0.0548561976,0.739773484,-0.181241734,-0.2574618248,-0.137803408
